datetime,open,high,low,close,volume,Name
10-01-2018,1007.6,1009.45,1000.1,1002.25,676881,KOTAKBANK
11-01-2018,1003.7,1021,1001.05,1017.65,2077832,KOTAKBANK
12-01-2018,1022.5,1025.9,1016.1,1023.35,2320796,KOTAKBANK
15-01-2018,1025,1041.4,1020.35,1038.35,3511372,KOTAKBANK
16-01-2018,1043.55,1044,1027.5,1033.25,1158187,KOTAKBANK
17-01-2018,1028.05,1034.15,1021.8,1027.1,1603465,KOTAKBANK
18-01-2018,1033,1050.8,1031.4,1046.5,3648214,KOTAKBANK
19-01-2018,1052.7,1063.9,1043.05,1060.55,4304314,KOTAKBANK
22-01-2018,1061,1078.2,1044,1074.1,3189930,KOTAKBANK
23-01-2018,1076.95,1083.75,1070.25,1075.45,2458463,KOTAKBANK
24-01-2018,1071.25,1084,1070.95,1080.1,1168000,KOTAKBANK
25-01-2018,1076,1098,1050.1,1092.35,4061319,KOTAKBANK
29-01-2018,1092,1119.5,1091,1115.1,2215014,KOTAKBANK
30-01-2018,1113.05,1118,1083.95,1088.05,2692935,KOTAKBANK
31-01-2018,1084,1113.2,1083.15,1108.95,3143011,KOTAKBANK
01-02-2018,1105.1,1131,1105.1,1120.95,3856283,KOTAKBANK
02-02-2018,1115,1115,1077.95,1085.95,2281820,KOTAKBANK
05-02-2018,1075,1081.05,1050.8,1062.25,2370531,KOTAKBANK
06-02-2018,1035.65,1049.4,1018.2,1033.8,3334520,KOTAKBANK
07-02-2018,1037,1050,1031,1036.3,3536295,KOTAKBANK
08-02-2018,1036.3,1056,1030.6,1051.75,1839297,KOTAKBANK
09-02-2018,1040,1045.5,1028,1032,1898563,KOTAKBANK
12-02-2018,1037.5,1046,1032.65,1042.95,772861,KOTAKBANK
14-02-2018,1050,1052.35,1036.8,1042.45,1187333,KOTAKBANK
15-02-2018,1043.5,1047.5,1033,1042.15,908706,KOTAKBANK
16-02-2018,1043,1062,1040.85,1050.2,1655606,KOTAKBANK
19-02-2018,1059,1059,1046.55,1056.2,1188168,KOTAKBANK
20-02-2018,1056.2,1065.4,1041.7,1045.8,835351,KOTAKBANK
21-02-2018,1047.7,1060.8,1042.55,1055.05,3572028,KOTAKBANK
22-02-2018,1052.5,1077.5,1050.65,1072.5,5142330,KOTAKBANK
23-02-2018,1072.5,1083.3,1072.45,1080.85,2272854,KOTAKBANK
26-02-2018,1081,1109.6,1081,1105.15,1817998,KOTAKBANK
27-02-2018,1105,1105,1088.1,1093.05,1034120,KOTAKBANK
28-02-2018,1090,1095.2,1084.55,1090.55,886902,KOTAKBANK
01-03-2018,1088.1,1103.75,1086,1095.7,1480594,KOTAKBANK
05-03-2018,1090,1103.85,1080.8,1100,2409121,KOTAKBANK
06-03-2018,1105,1105.95,1075.3,1082.45,2404151,KOTAKBANK
07-03-2018,1082.2,1097.6,1073.3,1085.1,2965912,KOTAKBANK
08-03-2018,1088.7,1093.1,1074.3,1082.3,1751666,KOTAKBANK
09-03-2018,1085,1091.9,1076.65,1082.45,1644991,KOTAKBANK
12-03-2018,1087.5,1105,1083.5,1100.6,1255474,KOTAKBANK
13-03-2018,1099.95,1108.5,1078.95,1083.9,1380164,KOTAKBANK
14-03-2018,1080,1085.05,1070,1081.75,1209100,KOTAKBANK
15-03-2018,1085,1091.95,1078.65,1085.65,1368171,KOTAKBANK
16-03-2018,1081.65,1082,1056.4,1060.75,2724910,KOTAKBANK
19-03-2018,1064.7,1065.6,1045.25,1049,1880023,KOTAKBANK
20-03-2018,1047.9,1051.45,1038.6,1045.3,987156,KOTAKBANK
21-03-2018,1054.8,1061.95,1045.55,1051.1,1741161,KOTAKBANK
22-03-2018,1051.1,1059.5,1048.1,1053.05,1765315,KOTAKBANK
23-03-2018,1040.9,1046.8,1028.4,1038.8,1961492,KOTAKBANK
